CDC	CHEFLIE	REG	DEP	COM	AR	CT	TNCC	ARTMAJ	NCC	ARTMIN
0	0	52	44	097	3	09	0		MESQUER		Mesquer
0	0	52	44	098	3	19	0		MISSILLAC		Missillac
0	0	52	44	099	1	06	0		MOISDON-LA-RIVIERE		Moisdon-la-Rivière
0	0	52	44	100	2	07	0		MONNIERES		Monnières
0	0	52	44	101	2	23	3	(LA)	MONTAGNE	(La)	Montagne
0	0	52	44	102	2	28	0		MONTBERT		Montbert
0	0	52	44	103	3	27	0		MONTOIR-DE-BRETAGNE		Montoir-de-Bretagne
0	0	52	44	104	4	01	0		MONTRELAIS		Montrelais
0	0	52	44	105	1	08	0		MOUAIS		Mouais
0	0	52	44	106	3	20	4	(LES)	MOUTIERS-EN-RETZ	(Les)	Moutiers-en-Retz
0	0	52	44	107	4	18	0		MOUZEIL		Mouzeil
0	0	52	44	108	2	30	0		MOUZILLON		Mouzillon
1	4	52	44	109	2	96	0		NANTES		Nantes
0	1	52	44	110	1	18	0		NORT-SUR-ERDRE		Nort-sur-Erdre
0	0	52	44	111	1	18	0		NOTRE-DAME-DES-LANDES		Notre-Dame-des-Landes
0	0	52	44	112	1	06	0		NOYAL-SUR-BRUTZ		Noyal-sur-Brutz
0	0	52	44	113	1	08	0		NOZAY		Nozay
0	0	52	44	114	2	25	1		ORVAULT		Orvault
0	0	52	44	115	4	01	1		OUDON		Oudon
0	0	52	44	116	3	23	0		PAIMBŒUF		Paimbœuf
0	0	52	44	117	2	30	2	(LE)	PALLET	(Le)	Pallet
0	0	52	44	118	4	01	0		PANNECE		Pannecé
0	0	52	44	119	2	10	0		PAULX		Paulx
0	0	52	44	120	2	23	2	(LE)	PELLERIN	(Le)	Pellerin
0	0	52	44	121	1	06	0		PETIT-AUVERNE		Petit-Auverné
0	0	52	44	122	1	18	0		PETIT-MARS		Petit-Mars
0	0	52	44	123	1	08	0		PIERRIC		Pierric
0	0	52	44	124	4	01	2	(LE)	PIN	(Le)	Pin
0	0	52	44	125	3	09	0		PIRIAC-SUR-MER		Piriac-sur-Mer
0	0	52	44	126	3	20	3	(LA)	PLAINE-SUR-MER	(La)	Plaine-sur-Mer
0	0	52	44	127	2	07	3	(LA)	PLANCHE	(La)	Planche
0	0	52	44	128	1	19	0		PLESSE		Plessé
0	1	52	44	129	3	19	0		PONTCHATEAU		Pontchâteau
0	0	52	44	130	2	28	0		PONT-SAINT-MARTIN		Pont-Saint-Martin
0	1	52	44	131	3	20	0		PORNIC		Pornic
0	0	52	44	132	3	02	0		PORNICHET		Pornichet
0	0	52	44	133	2	10	0		PORT-SAINT-PERE		Port-Saint-Père
0	0	52	44	134	4	01	0		POUILLE-LES-COTEAUX		Pouillé-les-Côteaux
0	0	52	44	135	3	02	2	(LE)	POULIGUEN	(Le)	Pouliguen
0	0	52	44	136	3	20	0		PREFAILLES		Préfailles
0	0	52	44	137	3	03	0		PRINQUIAU		Prinquiau
0	0	52	44	138	1	08	0		PUCEUL		Puceul
0	0	52	44	139	3	03	0		QUILLY		Quilly
0	0	52	44	140	2	30	3	(LA)	REGRIPPIERE	(La)	Regrippière
0	0	52	44	141	2	30	3	(LA)	REMAUDIERE	(La)	Remaudière
0	0	52	44	142	2	07	0		REMOUILLE		Remouillé
1	1	52	44	143	2	97	0		REZE		Rezé
0	0	52	44	144	4	18	0		RIAILLE		Riaillé
0	0	52	44	145	2	10	0		ROUANS		Rouans
0	0	52	44	146	1	06	0		ROUGE		Rougé
0	0	52	44	148	1	06	0		RUFFIGNE		Ruffigné
0	0	52	44	149	1	08	0		SAFFRE		Saffré
0	0	52	44	150	2	21	0		SAINT-AIGNAN-GRANDLIEU		Saint-Aignan-Grandlieu
0	0	52	44	151	3	02	0		SAINT-ANDRE-DES-EAUX		Saint-André-des-Eaux
0	0	52	44	152	3	19	0		SAINTE-ANNE-SUR-BRIVET		Sainte-Anne-sur-Brivet
0	0	52	44	153	1	06	0		SAINT-AUBIN-DES-CHATEAUX		Saint-Aubin-des-Châteaux
0	1	52	44	154	3	23	0		SAINT-BREVIN-LES-PINS		Saint-Brevin-les-Pins
0	0	52	44	155	2	28	0		SAINT-COLOMBAN		Saint-Colomban
0	0	52	44	156	2	28	0		CORCOUE-SUR-LOGNE		Corcoué-sur-Logne
0	0	52	44	157	2	10	0		SAINT-ETIENNE-DE-MER-MORTE		Saint-Étienne-de-Mer-Morte
0	0	52	44	158	2	03	0		SAINT-ETIENNE-DE-MONTLUC		Saint-Étienne-de-Montluc
0	0	52	44	159	2	31	0		SAINT-FIACRE-SUR-MAINE		Saint-Fiacre-sur-Maine
0	0	52	44	160	4	01	0		SAINT-GEREON		Saint-Géréon
0	0	52	44	161	3	19	0		SAINT-GILDAS-DES-BOIS		Saint-Gildas-des-Bois
1	1	52	44	162	2	98	0		SAINT-HERBLAIN		Saint-Herblain
0	0	52	44	163	4	01	0		VAIR-SUR-LOIRE		Vair-sur-Loire
0	0	52	44	164	3	10	0		SAINT-HILAIRE-DE-CHALEONS		Saint-Hilaire-de-Chaléons
